file,class,type,cbo,cboModified,fanin,fanout,wmc,dit,noc,rfc,lcom,lcom*,tcc,lcc,totalMethodsQty,staticMethodsQty,publicMethodsQty,privateMethodsQty,protectedMethodsQty,defaultMethodsQty,visibleMethodsQty,abstractMethodsQty,finalMethodsQty,synchronizedMethodsQty,totalFieldsQty,staticFieldsQty,publicFieldsQty,privateFieldsQty,protectedFieldsQty,defaultFieldsQty,finalFieldsQty,synchronizedFieldsQty,nosi,loc,returnQty,loopQty,comparisonsQty,tryCatchQty,parenthesizedExpsQty,stringLiteralsQty,numbersQty,assignmentsQty,mathOperationsQty,variablesQty,maxNestedBlocksQty,anonymousClassesQty,innerClassesQty,lambdasQty,uniqueWordsQty,modifiers,logStatementsQty
D:\Others\assignment\FADI_WEDYAN_OOPS\Assignment-2\2\aliyun-oss-java-sdk-master\src\main\java\com\aliyun\oss\internal\signer\OSSV2Signer.java,com.aliyun.oss.internal.signer.OSSV2Signer,class,6,7,1,6,2,2,0,9,1,0.0,0.0,0.0,2,0,0,0,2,0,2,0,0,0,0,0,0,0,0,0,0,0,2,13,0,0,0,0,0,0,0,4,0,4,0,0,0,0,21,1,0
D:\Others\assignment\FADI_WEDYAN_OOPS\Assignment-2\2\aliyun-oss-java-sdk-master\src\main\java\com\aliyun\oss\crypto\SdkRuntime.java,com.aliyun.oss.crypto.SdkRuntime,enum,0,2,2,0,1,1,0,1,0,0.0,NaN,NaN,1,1,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,5,1,0,0,0,0,0,0,0,0,0,0,0,0,0,20,1,0
D:\Others\assignment\FADI_WEDYAN_OOPS\Assignment-2\2\aliyun-oss-java-sdk-master\src\main\java\com\aliyun\oss\common\parser\RequestMarshallers.java,com.aliyun.oss.common.parser.RequestMarshallers$CreateBucketRequestMarshaller,innerclass,6,6,0,6,7,1,0,8,0,0.0,NaN,NaN,1,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,19,1,0,6,0,0,8,0,1,3,1,2,0,0,0,23,25,0
D:\Others\assignment\FADI_WEDYAN_OOPS\Assignment-2\2\aliyun-oss-java-sdk-master\src\test\java\com\aliyun\oss\integrationtests\RequestTimeoutTest.java,com.aliyun.oss.integrationtests.RequestTimeoutTest$OperationThread,innerclass,2,2,0,2,4,2,0,9,0,0.0,0.0,0.0,2,0,2,0,0,0,2,0,0,0,1,0,0,1,0,0,0,0,1,20,0,1,0,1,0,0,4,3,1,3,2,0,0,0,11,0,0
D:\Others\assignment\FADI_WEDYAN_OOPS\Assignment-2\2\aliyun-oss-java-sdk-master\src\main\java\com\aliyun\oss\common\parser\RequestMarshallers.java,com.aliyun.oss.common.parser.RequestMarshallers$PutBucketTransferAccelerationRequestMarshaller,innerclass,4,4,0,4,2,1,0,6,0,0.0,NaN,NaN,1,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,16,1,0,0,1,0,3,0,3,1,2,1,0,0,0,38,25,0
D:\Others\assignment\FADI_WEDYAN_OOPS\Assignment-2\2\aliyun-oss-java-sdk-master\src\main\java\com\aliyun\oss\model\SelectInputStream.java,com.aliyun.oss.model.SelectInputStream,class,6,8,2,6,36,3,0,20,6,0.7368421,0.0,0.0,9,0,6,3,0,0,6,0,0,0,19,5,0,19,0,0,5,0,8,168,4,2,4,0,3,13,54,46,14,34,4,0,0,0,114,1,0
D:\Others\assignment\FADI_WEDYAN_OOPS\Assignment-2\2\aliyun-oss-java-sdk-master\src\main\java\com\aliyun\oss\common\parser\RequestMarshallers.java,com.aliyun.oss.common.parser.RequestMarshallers$AddBucketCnameRequestMarshaller,innerclass,6,6,0,6,9,1,0,14,0,0.0,NaN,NaN,1,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,3,49,1,0,6,1,0,20,0,4,3,3,2,0,0,0,47,25,0
D:\Others\assignment\FADI_WEDYAN_OOPS\Assignment-2\2\aliyun-oss-java-sdk-master\src\test\java\com\aliyun\oss\integrationtests\VpcipTest.java,com.aliyun.oss.integrationtests.VpcipTest,class,11,11,0,11,16,2,0,26,0,0.33333334,0.0,0.0,3,0,3,0,0,0,3,0,0,0,2,2,0,2,0,0,2,0,0,156,0,3,1,9,0,8,2,29,0,29,3,0,0,0,41,1,0
D:\Others\assignment\FADI_WEDYAN_OOPS\Assignment-2\2\aliyun-oss-java-sdk-master\src\main\java\com\aliyun\oss\common\comm\ExecutionContext.java,com.aliyun.oss.common.comm.ExecutionContext,class,5,11,6,5,20,1,0,9,146,0.85714287,0.0,0.0,20,0,20,0,0,0,20,0,0,0,7,0,0,7,0,0,0,0,0,69,7,0,0,0,0,0,0,8,0,7,0,0,0,0,29,1,0
D:\Others\assignment\FADI_WEDYAN_OOPS\Assignment-2\2\aliyun-oss-java-sdk-master\src\main\java\com\aliyun\oss\internal\RequestParameters.java,com.aliyun.oss.internal.RequestParameters,class,0,0,0,0,0,1,0,0,0,NaN,-1.0,-1.0,0,0,0,0,0,0,0,0,0,0,109,109,109,0,0,0,109,0,0,111,0,0,0,0,0,109,0,109,0,109,0,0,0,0,38,17,0
D:\Others\assignment\FADI_WEDYAN_OOPS\Assignment-2\2\aliyun-oss-java-sdk-master\src\test\java\com\aliyun\oss\integrationtests\ArchiveTest.java,com.aliyun.oss.integrationtests.ArchiveTest,class,9,9,0,9,10,2,0,23,6,0.0,0.0,0.0,4,0,4,0,0,0,4,0,0,0,0,0,0,0,0,0,0,0,7,88,0,1,1,4,0,8,7,20,1,16,3,0,0,0,42,1,0
D:\Others\assignment\FADI_WEDYAN_OOPS\Assignment-2\2\aliyun-oss-java-sdk-master\src\main\java\com\aliyun\oss\model\InventoryFormat.java,com.aliyun.oss.model.InventoryFormat,enum,0,1,1,0,2,1,0,0,0,0.0,NaN,NaN,2,0,1,1,0,0,1,0,0,0,1,0,0,1,0,0,1,0,0,8,1,0,0,0,0,1,0,1,0,1,0,0,0,0,14,1,0
D:\Others\assignment\FADI_WEDYAN_OOPS\Assignment-2\2\aliyun-oss-java-sdk-master\src\test\java\com\aliyun\oss\OSSClientRequestTest.java,com.aliyun.oss.OSSClientRequestTest$TestAction,interface,0,0,0,0,1,1,0,0,0,0.0,NaN,NaN,1,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,10,0
D:\Others\assignment\FADI_WEDYAN_OOPS\Assignment-2\2\aliyun-oss-java-sdk-master\src\main\java\com\aliyun\oss\crypto\SdkFilterInputStream.java,com.aliyun.oss.crypto.SdkFilterInputStream,class,4,9,5,4,18,3,1,11,89,0.85714287,0.0,0.0,14,0,13,0,1,0,14,0,1,2,1,0,0,1,0,0,0,0,1,65,7,0,1,1,1,1,0,2,0,1,2,0,0,0,67,1,0
D:\Others\assignment\FADI_WEDYAN_OOPS\Assignment-2\2\aliyun-oss-java-sdk-master\src\test\java\com\aliyun\oss\common\utils\CRC64UtilTest.java,com.aliyun.oss.common.utils.CRC64UtilTest,class,3,3,0,3,2,1,0,11,0,0.0,NaN,NaN,1,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,3,35,0,0,0,0,0,5,14,19,1,11,0,0,0,0,26,1,0
D:\Others\assignment\FADI_WEDYAN_OOPS\Assignment-2\2\aliyun-oss-java-sdk-master\src\main\java\com\aliyun\oss\internal\OSSDownloadOperation.java,com.aliyun.oss.internal.OSSDownloadOperation$DownloadCheckPoint,innerclass,8,8,0,8,20,1,0,22,15,0.85185194,0.0,0.0,6,0,5,1,0,0,5,0,0,4,9,2,7,2,0,0,2,0,0,69,4,0,11,0,12,1,9,28,12,20,1,0,0,0,85,8,0
D:\Others\assignment\FADI_WEDYAN_OOPS\Assignment-2\2\aliyun-oss-java-sdk-master\src\main\java\com\aliyun\oss\internal\OSSRequestMessageBuilder.java,com.aliyun.oss.internal.OSSRequestMessageBuilder,class,10,16,6,10,25,1,0,18,186,0.85984856,0.0,0.0,24,0,24,0,0,0,24,0,0,0,11,0,0,11,0,0,0,0,6,115,23,0,1,0,0,0,4,22,0,15,0,0,0,0,61,1,0
D:\Others\assignment\FADI_WEDYAN_OOPS\Assignment-2\2\aliyun-oss-java-sdk-master\src\test\java\com\aliyun\oss\integrationtests\SymlinkTest.java,com.aliyun.oss.integrationtests.SymlinkTest,class,6,6,0,6,16,2,0,31,0,0.25,0.0,0.0,6,0,6,0,0,0,6,0,0,0,2,2,0,2,0,0,2,0,0,125,0,1,1,8,0,18,0,23,0,23,3,0,0,0,45,1,0
D:\Others\assignment\FADI_WEDYAN_OOPS\Assignment-2\2\aliyun-oss-java-sdk-master\src\main\java\com\aliyun\oss\model\LifecycleRule.java,com.aliyun.oss.model.LifecycleRule$AbortMultipartUpload,innerclass,1,1,0,1,13,1,0,2,15,0.54545456,0.0,0.0,11,0,11,0,0,0,11,0,0,0,2,0,0,2,0,0,0,0,0,38,6,0,2,0,0,0,1,4,0,2,0,0,0,0,15,9,0
D:\Others\assignment\FADI_WEDYAN_OOPS\Assignment-2\2\aliyun-oss-java-sdk-master\src\main\java\com\aliyun\oss\model\RoutingRule.java,com.aliyun.oss.model.RoutingRule$IncludeHeader,innerclass,0,0,0,0,8,1,0,0,20,0.75,0.0,0.0,8,0,8,0,0,0,8,0,0,0,4,0,0,4,0,0,0,0,0,30,4,0,0,0,0,0,0,4,0,4,0,0,0,0,26,9,0
